timestamp,cpu_percent_mean,memory_percent_mean,memory_used_mean,gpu_utilization_mean,gpu_memory_used_mean,gpu_memory_free_mean,gpu_memory_total_mean
2024-11-29 16:05:22,0.0,13.199999999999998,3.485210418701172,0.0,19792.0,2924.5,23028.0
2024-11-29 16:05:27,5.908373276344493,13.200000000000001,3.485950387516535,88.16496984607853,19792.0,2924.5,23028.0
2024-11-29 16:05:32,6.2520125292419175,13.200000000000001,3.4786286492288174,91.12247586738826,19792.0,2924.5,23028.0
2024-11-29 16:05:37,6.344363469403499,13.2,3.473896755055622,92.83951731241352,19792.0,2924.5,23028.0
2024-11-29 16:05:42,6.408330713025937,13.199999999999998,3.471889712624065,93.32844098658829,19792.0,2924.5,23028.0
2024-11-29 16:05:47,6.438576105212197,13.200000000000001,3.469858616655906,93.86532821771448,19792.0,2924.5,23028.0
2024-11-29 16:05:52,6.482220956249768,13.200000000000001,3.4675834211594796,94.05145453027923,19792.0,2924.5,23028.0
2024-11-29 16:05:57,5.842263229817341,13.200000000000001,3.465980186693989,84.43782563791335,19792.0,2924.5,23028.0
2024-11-29 16:06:02,5.142980300398876,13.200000000000001,3.4649596195346586,73.99111966600366,19792.0,2924.5,23028.0
2024-11-29 16:06:07,4.56166687323706,13.200000000000001,3.464201167701624,65.46476988345972,19792.0,2924.5,23028.0
2024-11-29 16:06:12,4.141983305729623,13.2,3.463384340579313,59.17157454273227,19792.0,2924.5000000000005,23028.000000000004
2024-11-29 16:06:17,3.789114150219889,13.200000000000001,3.462923409528349,53.845327251242274,19792.0,2924.500000000001,23028.000000000004
2024-11-29 16:06:22,3.489772925652274,13.199999999999998,3.462637875657775,49.381426789851645,19792.0,2924.5000000000005,23028.000000000004
2024-11-29 16:06:27,3.233241343599161,13.2,3.4625402583730898,45.60092755731381,19792.0,2924.5,23028.0
2024-11-29 16:06:32,3.004095123484988,13.199999999999998,3.4626187123953343,42.22452207299906,19792.0,2924.4999999999995,23027.999999999996
2024-11-29 16:06:37,2.824443750742123,13.199999999999998,3.4627975745386594,39.52447952296955,19792.0,2924.4999999999995,23027.999999999996
2024-11-29 16:06:42,2.6549517448052766,13.199999999999996,3.463021431526864,36.9625263824603,19792.0,2924.5,23028.0
2024-11-29 16:06:47,2.5068774034639403,13.199999999999998,3.4633003358344405,34.79482819561019,19792.0,2924.500000000001,23028.000000000004
2024-11-29 16:06:52,2.376840625456789,13.2,3.463623577901011,32.86684739952579,19792.0,2924.5000000000005,23028.000000000004
