experiment_name,payload_file,instance_type,instance_count,concurrency,error_rate,prompt_token_count_mean,prompt_token_throughput,completion_token_count_mean,completion_token_throughput,latency_p50,latency_p95,latency_p99,transactions_per_minute,price_per_txn,price_per_token,score_dict,score,any_criterion_failed,error_rate_criterion_failed,latency_criterion_failed,cost_per_txn_criterion_failed,error_rate_text,latency_p95_text,price_per_10k_txn_text
us.amazon.nova-micro-v1:0,payload_en_500-1000.jsonl,us.amazon.nova-micro-v1:0,1.0,2,0.0,1121,3335,48,143,0.61,0.64,0.64,178,4.5954999999999996e-05,0.00000004,"{'score': 6.6570225, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>0.64</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>0.46</span>""}",6.6570225,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>0.64</span>,<span style='color:green'>0.46</span>
us.amazon.nova-micro-v1:0,payload_en_500-1000.jsonl,us.amazon.nova-micro-v1:0,1.0,1,0.0,1085,1489,47,65,0.7,0.7,0.7,82,4.4554999999999996e-05,0.00000004,"{'score': 5.6277225, 'any_criterion_failed': False, 'error_rate_criterion_failed': False, 'latency_criterion_failed': False, 'cost_per_txn_criterion_failed': False, 'error_rate_text': ""<span style='color:green'>0.00</span>"", 'latency_p95_text': ""<span style='color:green'>0.70</span>"", 'price_per_10k_txn_text': ""<span style='color:green'>0.45</span>""}",5.6277225,False,False,False,False,<span style='color:green'>0.00</span>,<span style='color:green'>0.70</span>,<span style='color:green'>0.45</span>
